省份,PM2.5,PM10,SO2,CO,NO2,O3_8h
北京,73,92,10,3.2,48,199
天津,69,103,21,2.7,48,157
石家庄,99,164,41,3.9,58,164
唐山,74,127,46,4.1,58,178
秦皇岛,46,87,28,2.9,48,149
邯郸,82,151,42,3.9,55,160
保定,93,147,39,4.4,58,174
太原,66,125,68,3.3,46,140
大同,37,78,48,2.7,29,134
阳泉,63,131,62,2.7,48,168
长治,69,114,61,3.7,40,155
临汾,74,120,83,5,34,136
呼和浩特,41,95,28,2.8,42,148
包头,47,105,31,2.7,39,146
赤峰,37,77,32,2,19,127
沈阳,54,94,47,1.7,40,162
大连,39,67,26,1.5,30,155
鞍山,56,93,39,2.2,34,138
抚顺,44,78,27,2.1,33,162
本溪,45,74,36,2.1,33,137
锦州,55,81,52,2,37,180
长春,46,78,28,1.6,40,141
吉林,42,69,23,1.5,30,151
哈尔滨,52,74,29,1.8,44,103
齐齐哈尔,36,61,23,1.5,23,98
牡丹江,37,68,18,1.5,26,104
上海,45,59,15,1.3,43,164
南京,48,85,18,1.8,44,184
无锡,53,83,18,1.8,47,186
徐州,60,118,35,2.2,42,153
常州,53,90,22,1.6,42,175
苏州,46,72,17,1.5,51,167
南通,46,70,25,1.3,36,174
连云港,46,87,25,1.6,30,158
扬州,51,87,23,1.6,32,163
镇江,50,80,24,1.4,38,162
杭州,49,79,12,1.3,45,171
宁波,38,62,13,1.2,39,149
温州,38,69,13,1.3,41,140
湖州,46,68,17,1.3,37,196
绍兴,46,69,15,1.4,38,146
合肥,57,83,15,1.6,46,150
芜湖,53,75,21,1.8,45,116
马鞍山,49,75,20,2,34,158
福州,27,51,6,1.1,30,116
厦门,28,47,11,0.9,31,102
泉州,28,48,11,1,27,109
南昌,43,78,17,1.6,33,138
九江,50,73,21,1.3,28,142
济南,76,146,37,2.3,48,178
青岛,46,89,21,1.4,36,146
淄博,77,133,59,2.9,53,182
枣庄,77,137,36,1.6,29,170
烟台,40,76,22,1.5,35,137
潍坊,64,124,37,1.8,35,180
济宁,70,114,42,2,42,169
泰安,65,113,36,2.4,39,200
日照,59,101,21,1.9,38,158
郑州,78,143,29,2.8,56,177
开封,72,122,28,2.7,40,152
洛阳,79,129,38,3.5,48,189
平顶山,75,125,30,2.1,43,165
安阳,86,155,52,4.7,51,154
焦作,85,141,40,3.9,48,166
三门峡,66,127,33,3,39,162
武汉,57,92,11,1.7,46,160
宜昌,62,97,14,1.7,35,126
荆州,60,100,23,1.8,34,156
长沙,53,73,16,1.4,38,150
株洲,51,83,25,1.4,35,142
湘潭,51,85,25,1.4,37,142
岳阳,49,72,21,1.4,25,158
常德,56,80,19,1.8,23,136
张家界,48,72,7,2.2,21,124
广州,36,56,12,1.3,46,155
韶关,33,51,16,1.6,26,134
深圳,27,42,8,1.1,33,134
珠海,26,42,9,1.1,32,144
汕头,30,48,14,1.2,21,132
湛江,26,39,10,1.2,14,138
南宁,36,62,12,1.3,32,114
柳州,44,66,21,1.6,24,123
桂林,47,64,17,1.7,27,135
北海,28,44,9,1.3,13,136
海口,21,39,6,0.9,16,107
重庆,54,77,13,1.4,46,141
成都,63,105,14,1.8,54,168
自贡,73,99,15,1.5,33,116
攀枝花,32,65,38,2.2,34,112
泸州,64,87,18,0.9,29,154
德阳,53,88,12,1.4,26,159
绵阳,49,78,11,1.6,36,136
南充,57,82,12,1.3,31,111
宜宾,56,78,19,1.4,30,133
贵阳,37,64,13,1.1,29,130
遵义,44,69,11,1.2,32,112
昆明,28,55,17,1.5,28,122
曲靖,31,55,22,1.3,20,132
玉溪,25,42,17,2.5,19,100
拉萨,28,80,8,1,24,151
西安,71,137,20,3.1,53,162
铜川,59,104,22,2.2,35,170
宝鸡,59,111,13,2.2,39,158
咸阳,82,149,20,2.6,49,174
渭南,76,139,22,2.7,47,173
延安,44,92,28,3,48,148
兰州,54,132,19,2.9,57,144
金昌,32,104,37,1.9,17,128
西宁,49,113,31,3.2,42,128
银川,56,111,57,2.6,37,147
石嘴山,47,114,68,2.4,29,158
乌鲁木齐,74,115,14,3.8,53,112
克拉玛依,30,55,7,1.9,18,128
