日期,PM2.5,PM10,SO2,CO,NO2,O3_8h,AQI,质量等级
2013/12/2,109,138,61,2.6,88,11,142,轻度
2013/12/3,64,86,38,1.6,54,45,86,良
2013/12/4,82,101,42,2,62,23,109,轻度
2013/12/5,39,56,30,1.2,38,52,56,良
2013/12/6,128,162,48,2.5,78,15,169,中度
2013/12/7,241,285,64,4.2,98,6,291,重度
2013/12/8,173,189,47,2.9,60,41,223,重度
2013/12/9,11,16,10,0.6,22,51,26,优
2013/12/10,21,45,14,1,29,52,45,优
2013/12/11,19,30,15,0.7,30,45,30,优
2013/12/12,16,29,11,0.8,25,56,29,优
2013/12/13,48,63,29,1.3,45,29,66,良
2013/12/14,40,48,29,1.2,41,46,56,良
2013/12/15,46,55,31,1.5,49,31,64,良
2013/12/16,102,126,59,2.5,70,10,134,轻度
2013/12/17,59,41,35,1.4,39,42,80,良
2013/12/18,29,45,22,0.9,32,43,45,优
2013/12/19,45,60,30,1.2,50,35,63,良
2013/12/20,30,45,28,1.1,46,47,45,优
2013/12/21,61,81,43,1.6,69,30,82,良
2013/12/22,135,178,67,2.8,95,14,179,中度
2013/12/23,126,166,62,2.9,90,30,166,中度
2013/12/24,219,268,94,4.8,123,10,269,重度
2013/12/25,169,219,65,3.3,94,54,219,重度
2013/12/26,10,20,9,0.4,21,59,30,优
2013/12/27,16,21,19,0.6,34,40,23,优
2013/12/28,11,18,11,0.3,21,61,31,优
2013/12/29,58,87,48,1.7,76,30,78,良
2013/12/30,43,84,28,1.1,53,59,67,良
2013/12/31,50,148,23,1.2,49,63,99,良
2014/1/1,45,111,28,1.5,62,52,81,良
2014/1/2,111,168,69,3.4,93,14,145,轻度
2014/1/3,47,98,29,1.3,52,56,74,良
2014/1/4,114,147,40,2.8,75,14,149,轻度
2014/1/5,91,117,36,2.3,67,44,119,轻度
2014/1/6,138,158,46,2.4,68,12,182,中度
2014/1/7,111,125,34,2,60,43,145,轻度
2014/1/8,15,25,13,0.5,21,53,27,优
2014/1/9,27,46,19,0.8,35,53,46,优
2014/1/10,63,94,53,1.9,71,19,85,良
2014/1/11,106,128,76,2.8,90,11,139,轻度
